Interval,Burg_Absolute_porosimetry(% in volume),Obern_Absolute_porosimetry(% in volume),Burg_Relative_porosimetry(% in volume),Obern_Relative_porosimetry(% in volume),Burg_Buoyancy,Obern_Buoyancy,Burg_Innersurface_Porosimetry,Obern_Innersurface_Porosimetry ,Burg_BET_innersurface,Obern_BET_Innersurface
Overall,17.04,18.63,17.04,18.63,20.3,19,0.463,0.365,1.761,1.484
<0.05,0.12,0.14,0.7,0.7,,,,,,
0.05-0.1,0.25,0.22,1.5,1.2,,,,,,
0.1-0.5,3.36,1.23,19.7,6.6,,,,,,
0.5-1,1.24,1.1,7.3,5.9,,,,,,
1um-2,0.77,2.1,4.5,11.3,,,,,,
2um-5,1.09,6.67,6.4,35.8,,,,,,
5um-15,6.82,6.67,40,35.8,,,,,,
>15,3.39,0.5,19.9,2.7,,,,,,
,,,,,,,,,,
,5.74,4.79,33.7,25.7,,,,,,
,1.09,6.67,6.4,60.8,,,,,,
,6.82,6.67,40,95.4,,,,,,
,3.39,0.5,19.9,91.5,,,,,,
,ful ppol,,,,,,,,,
,5320635,,,,,,,,,
,1022031,,,,,,,,,
,11636241,,,,,,,,,
,54094960,,,,,,,,,
,,,,,,,,,,
,crop ppol,,,,,,,,,
,3236848,,,,,,,,,
,6684869,,,,,,,,,
,9617979,,,,,,,,,
,35151188,,,,,,,,,
,ful xpol,,,,,,,,,
,459853,,,,,,,,,
,1022032,,,,,,,,,
,1937140,,,,,,,,,
,356479989,,,,,,,,,
,359899014,,Bent,,,,,,,
,crop xpol,,,,,,,,,
,349735,783524,,,,,,,,
,777600,1825412,,,,,,,,
,1569511,6280085,,,,,,,,
,219137527,204227856,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ppol,0.122,,,,,,,,,
ppol,0.132,,,,,,,,,
xpol,0.531,,,,,,,,,
xpol,0.479,,,,,,,,,
